Sample Name,Generation Data Classes,Audio Codes Shape,Positional Embedding Shape,Global Attributes,Key One Hot Encoding Shape,Track Class One Hot Encoding Shape
dong_2_24bars_segment_6,"['bass', 'brass', 'clap', 'drums', 'hi_hat', 'keys', 'kick', 'melody', 'percs', 'piano', 'ride', 'sample', 'sfx', 'snare', 'strings', 'synth']","[(4, 750), (0,), (4, 750), (4, 750), (4, 750), (4, 750), (4, 750), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,)]","(750, 128)","{""bpm"": 90.0, ""bars"": 24, ""key"": ""F_MAJOR""}","(24,)","(17,)"
easy_1_24bars_segment_1,"['bass', 'brass', 'clap', 'drums', 'hi_hat', 'keys', 'kick', 'melody', 'percs', 'piano', 'ride', 'sample', 'sfx', 'snare', 'strings', 'synth']","[(4, 750), (0,), (0,), (4, 750), (4, 750), (4, 750), (4, 750), (0,), (0,), (0,), (0,), (0,), (0,), (4, 750), (0,), (4, 750)]","(750, 128)","{""bpm"": 126.0, ""bars"": 24, ""key"": ""C_MAJOR""}","(24,)","(17,)"
easy_1_24bars_segment_2,"['bass', 'brass', 'clap', 'drums', 'hi_hat', 'keys', 'kick', 'melody', 'percs', 'piano', 'ride', 'sample', 'sfx', 'snare', 'strings', 'synth']","[(4, 750), (0,), (0,), (4, 750), (4, 750), (4, 750), (4, 750), (0,), (0,), (0,), (0,), (0,), (0,), (4, 750), (0,), (4, 750)]","(750, 128)","{""bpm"": 126.0, ""bars"": 24, ""key"": ""C_MAJOR""}","(24,)","(17,)"
easy_1_24bars_segment_3,"['bass', 'brass', 'clap', 'drums', 'hi_hat', 'keys', 'kick', 'melody', 'percs', 'piano', 'ride', 'sample', 'sfx', 'snare', 'strings', 'synth']","[(4, 750), (0,), (0,), (4, 750), (4, 750), (4, 750), (4, 750), (0,), (0,), (0,), (0,), (0,), (0,), (4, 750), (0,), (4, 750)]","(750, 128)","{""bpm"": 126.0, ""bars"": 24, ""key"": ""C_MAJOR""}","(24,)","(17,)"
easy_1_24bars_segment_4,"['bass', 'brass', 'clap', 'drums', 'hi_hat', 'keys', 'kick', 'melody', 'percs', 'piano', 'ride', 'sample', 'sfx', 'snare', 'strings', 'synth']","[(4, 750), (0,), (0,), (4, 750), (4, 750), (4, 750), (4, 750), (0,), (0,), (0,), (0,), (0,), (0,), (4, 750), (0,), (4, 750)]","(750, 128)","{""bpm"": 126.0, ""bars"": 24, ""key"": ""C_MAJOR""}","(24,)","(17,)"
empire_state_1_16bars_segment_1,"['bass', 'brass', 'clap', 'drums', 'hi_hat', 'keys', 'kick', 'melody', 'percs', 'piano', 'ride', 'sample', 'sfx', 'snare', 'strings', 'synth']","[(0,), (0,), (0,), (4, 750), (0,), (4, 750), (0,), (0,), (0,), (0,), (0,), (4, 750), (0,), (0,), (0,), (0,)]","(750, 128)","{""bpm"": 87.0, ""bars"": 16, ""key"": ""B_MAJOR""}","(24,)","(17,)"
empire_state_1_16bars_segment_2,"['bass', 'brass', 'clap', 'drums', 'hi_hat', 'keys', 'kick', 'melody', 'percs', 'piano', 'ride', 'sample', 'sfx', 'snare', 'strings', 'synth']","[(0,), (0,), (0,), (4, 750), (0,), (4, 750), (0,), (0,), (0,), (0,), (0,), (4, 750), (0,), (0,), (0,), (0,)]","(750, 128)","{""bpm"": 87.0, ""bars"": 16, ""key"": ""B_MAJOR""}","(24,)","(17,)"
empire_state_1_16bars_segment_3,"['bass', 'brass', 'clap', 'drums', 'hi_hat', 'keys', 'kick', 'melody', 'percs', 'piano', 'ride', 'sample', 'sfx', 'snare', 'strings', 'synth']","[(0,), (0,), (0,), (4, 750), (0,), (4, 750), (0,), (0,), (0,), (0,), (0,), (4, 750), (0,), (0,), (0,), (0,)]","(750, 128)","{""bpm"": 87.0, ""bars"": 16, ""key"": ""B_MAJOR""}","(24,)","(17,)"
empire_state_1_16bars_segment_4,"['bass', 'brass', 'clap', 'drums', 'hi_hat', 'keys', 'kick', 'melody', 'percs', 'piano', 'ride', 'sample', 'sfx', 'snare', 'strings', 'synth']","[(0,), (0,), (0,), (4, 750), (0,), (4, 750), (0,), (0,), (0,), (0,), (0,), (4, 750), (0,), (0,), (0,), (0,)]","(750, 128)","{""bpm"": 87.0, ""bars"": 16, ""key"": ""B_MAJOR""}","(24,)","(17,)"
empire_state_2_16bars_segment_1,"['bass', 'brass', 'clap', 'drums', 'hi_hat', 'keys', 'kick', 'melody', 'percs', 'piano', 'ride', 'sample', 'sfx', 'snare', 'strings', 'synth']","[(0,), (0,), (0,), (4, 750), (0,), (4, 750), (0,), (0,), (0,), (0,), (0,), (4, 750), (0,), (0,), (0,), (0,)]","(750, 128)","{""bpm"": 87.0, ""bars"": 16, ""key"": ""B_MAJOR""}","(24,)","(17,)"
